LOAN_ID,snapshot_date,nps_score,nps_category,BALANCE,TOTAL_PAID,ARREARS,DAYS_PAST_DUE,BALANCE_DUE_STATUS,ACCOUNT_STATUS_L2,happy_with_device_quality,happy_with_service,experienced_payment_delay,difficulty_getting_support,phone_locked_despite_payment,PRODUCT_NAME,LOAN_TERM,dpd_bucket,payment_performance
rec01VlZfsRhGD8vI,2025-12-30,9.0,Promoter,0.0,15999,0.0,0,up to date,Paid Off,Yes,Yes,No,No,No,Samsung-Galaxy-A06-128GB,12M,Current,Good
rec02rkeZIYT1p7GK,2025-12-30,10.0,Promoter,0.0,1000,14999.0,0,Arrears,Paid Off,Yes,Yes,Yes,"No, I have never looked for customer care",No,Samsung-Galaxy-A06-128GB,12M,Current,Fair
rec037qWdMLkmq19x,2025-12-30,1.0,Detractor,0.0,61459,0.0,0,advance,Paid Off,No,No,Yes,Yes,Yes,Samsung-Note-20-Ultra-128GB,3M,Current,Unknown
rec05XU0EE7hoe6gY,2025-12-30,1.0,Detractor,49360.0,14739,44960.0,281,Arrears,PAR 30,No,No,No,No,Yes,Samsung-Galaxy-S20-Plus-5G-128GB,12M,90+ DPD,Poor
rec06Jw9u4LbqIul4,2025-12-30,10.0,Promoter,22400.0,15859,0.0,0,advance,Active,Yes,Yes,No,"No, I have never looked for customer care",No,Samsung-Galaxy-A16-128GB,12M,Current,Unknown
rec08ahIi2qmt40Ul,2025-12-30,1.0,Detractor,0.0,71359,0.0,0,up to date,Paid Off,,,,,,Apple-iPhone-X-64GB,12M,Current,Good
rec08hbVI8dupecHS,2025-12-30,8.0,Passive,8550.0,48999,950.0,0,Arrears,Active,,,,,,Apple-iPhone-XR-64GB,12M,Current,Fair
rec099hvwKXtZ27TG,2025-12-30,9.0,Promoter,25100.0,43479,320.0,1,Arrears,Inactive,,,,,,Samsung-Galaxy-S20-Ultra-128GB,12M,1-30 DPD,Fair
rec0AUa8GxoiY082u,2025-12-30,3.0,Detractor,4780.0,40779,4780.0,269,Arrears,PAR 30,No,No,No,No,No,Samsung-Galaxy-S9-64GB,12M,90+ DPD,Poor
rec0CsNk3ewkMBGBu,2025-12-30,10.0,Promoter,8360.0,33149,3040.0,27,Arrears,PAR 7,,,,,,Samsung-Galaxy-A42-5G-128GB,12M,1-30 DPD,Fair
rec0ESJyg01Jm4U7k,2025-12-30,10.0,Promoter,95060.0,19179,0.0,0,up to date,Active,,,,,,Samsung-Galaxy-S23-Ultra-256GB,12M,Current,Good
rec0HCSbS5TAxGsxv,2025-12-30,10.0,Promoter,57809.0,10770,28309.0,162,Arrears,FMD,Yes,Yes,No,No,No,Samsung-Galaxy-S20-Ultra-128GB,12M,90+ DPD,Poor
rec0HrmbKcHdVBS0N,2025-12-30,9.0,Promoter,12200.0,52079,1220.0,3,Arrears,Inactive,,,,,,Samsung-Note-10-Plus-256GB,12M,1-30 DPD,Fair
rec0I3y5QktQDqkpj,2025-12-30,10.0,Promoter,0.0,68959,0.0,0,up to date,Paid Off,,,,,,Samsung-Note-20-128GB,12M,Current,Good
rec0IKT43b6nSwiD6,2025-12-30,0.0,Detractor,68510.0,88299,0.0,0,advance,Active,,,,,,Apple-iPhone-14-Pro-Max-256GB,3M,Current,Unknown
rec0ITuqc7Hbmh5I0,2025-12-30,9.0,Promoter,0.0,113079,0.0,0,advance,Paid Off,,,,,,Samsung-Galaxy-S22-Ultra-128GB,12M,Current,Unknown
rec0J3aKHPKTG6X0q,2025-12-30,6.0,Detractor,13860.0,31009,0.0,0,up to date,Active,Yes,Yes,Yes,"No, I have never looked for customer care",Yes,Samsung-Galaxy-A16-128GB,12M,Current,Good
rec0JjOk4k9QBjUMA,2025-12-30,10.0,Promoter,31540.0,65379,31540.0,204,Arrears,PAR 30,Yes,Yes,No,No,No,Samsung-Note-20-Ultra-128GB,12M,90+ DPD,Poor
